state,Biden,Bloomberg,County,Rpt.,Sanders
AZ,4425,,Mohave,100%,2097
AZ,4060,,Cochise,100%,2624
AZ,2854,,Yuma,100%,3021
AZ,2947,,Navajo,100%,2176
AZ,2482,,Apache,100%,2064
AZ,1714,,Santa Cruz,100%,1437
AZ,1562,,Gila,100%,705
AZ,774,,Graham,100%,420
AZ,316,,Greenlee,100%,138
AZ,272,,La Paz,100%,170
