,Town,Biden,Sanders,Warren,Bloomberg,Rpt.
160,Norfolk,843,442,374,350,100%
161,Orleans,735,408,421,351,100%
162,Newbury,766,437,411,300,100%
163,Harvard,696,407,614,211,100%
164,Holbrook,694,599,311,221,100%
165,Stow,440,501,617,262,100%
166,Oxford,709,617,222,204,100%
167,Boxford,704,356,341,328,100%
168,Lakeville,614,541,242,254,100%
169,Hanson,676,508,250,231,100%
170,Charlton,679,515,231,235,100%
171,Chatham,698,344,330,297,100%
172,Sturbridge,692,454,316,198,100%
173,Eastham,601,421,347,232,100%
174,Northbridge,431,650,308,244,100%
175,Hamilton,731,377,403,214,100%
176,Sterling,603,485,299,195,100%
177,Upton,648,473,310,212,100%
178,Salisbury,592,469,246,268,100%
179,Leicester,629,513,224,221,100%
180,Dover,704,226,317,387,100%
181,Southbridge,583,505,196,255,100%
182,Middleton,632,378,213,302,100%
183,Hadley,528,565,424,114,100%
184,Mattapoisett,657,353,300,242,100%
185,Ayer,524,527,335,170,100%
186,West Boylston,647,407,244,195,100%
187,Carlisle,556,292,437,230,100%
188,Deerfield,463,552,415,129,100%
189,Rehoboth,629,470,252,189,100%
190,Palmer,590,541,213,167,100%
191,Bolton,561,342,411,186,100%
192,Merrimac,536,461,251,184,100%
193,Lenox,633,357,329,190,100%
194,Plainville,544,398,245,207,100%
195,Boxborough,522,395,412,168,100%
196,Adams,677,502,180,141,100%
197,Westminster,598,440,227,185,100%
198,Sutton,620,373,239,194,100%
199,Rutland,549,472,245,170,100%
200,Spencer,570,451,219,163,100%
201,Townsend,427,508,251,169,100%
202,Groveland,542,400,234,183,100%
203,Provincetown,540,228,362,141,100%
204,Sherborn,564,211,319,264,100%
205,Lancaster,500,349,311,164,100%
206,Athol,391,549,186,137,100%
207,Dudley,506,406,196,172,100%
208,Rowley,521,362,242,177,100%
209,Monson,453,428,238,160,100%
210,Marion,541,290,248,214,100%
211,West Newbury,548,285,266,180,100%
212,Oak Bluffs,493,340,254,188,100%
213,Southampton,456,394,261,144,100%
214,Halifax,519,363,190,171,100%
215,Shirley,387,413,257,137,100%
216,West Tisbury,389,361,335,133,100%
217,Hopedale,509,347,209,127,100%
218,Lee,511,371,221,107,100%
219,Edgartown,458,320,235,153,100%
220,West Bridgewater,461,333,158,174,100%
221,Wellfleet,373,350,309,128,100%
