,Town,Sanders,Biden,Warren,Bloomberg,Rpt.
170,Rupert,82,53,17,17,100%
171,Wardsboro,87,47,28,12,100%
172,Canaan,75,47,10,34,100%
173,Vershire,104,30,29,5,100%
174,Brighton,74,58,15,21,100%
175,St. George,93,39,22,13,100%
176,Leicester,87,51,15,16,100%
177,Benson,85,43,10,25,100%
178,Franklin,81,39,11,32,100%
179,Troy,102,37,5,16,100%
180,Newport Town,68,50,16,27,100%
181,Stockbridge,94,29,17,22,100%
182,Concord,71,47,9,19,100%
183,Groton,85,38,15,13,100%
184,Plymouth,70,47,26,13,100%
185,Stamford,56,53,30,12,100%
186,Panton,75,41,13,22,100%
187,Berkshire,79,37,7,28,100%
188,Albany,92,31,16,10,100%
189,Eden,86,24,8,26,100%
190,Charleston,92,28,14,9,100%
191,Sudbury,73,37,16,16,100%
192,Waltham,75,46,9,9,100%
193,Andover,55,44,18,22,100%
194,Readsboro,81,35,9,11,100%
195,Sutton,69,36,17,14,100%
196,Hubbardton,76,35,9,14,100%
197,Isle La Motte,75,28,5,25,100%
198,Tinmouth,68,33,11,16,100%
199,Topsham,77,27,22,7,100%
200,Coventry,82,28,11,15,100%
201,Wheelock,86,33,8,8,100%
202,West Fairlee,80,27,13,6,100%
203,Lunenburg,64,39,9,11,100%
204,Irasburg,74,28,8,14,100%
205,Kirby,63,26,18,9,100%
206,Brookline,71,30,13,7,100%
207,Peru,59,34,12,13,100%
208,Westfield,67,27,12,15,100%
209,Pittsfield,66,31,4,14,100%
210,Windham,58,36,8,12,100%
211,Waterville,74,23,7,5,100%
212,Orange,66,21,7,10,100%
213,Newark,48,18,16,8,100%
214,Granville,70,8,8,6,100%
215,Lowell,46,19,9,12,100%
216,Brownington,42,20,7,10,100%
217,Whiting,46,18,5,9,100%
218,Sandgate,42,16,12,10,100%
219,Sheffield,43,12,8,15,100%
220,Morgan,33,22,6,10,100%
221,Ira,37,20,3,7,100%
222,Athens,35,12,12,6,100%
223,Holland,35,23,3,8,100%
224,West Haven,38,22,2,7,100%
225,Woodford,41,17,6,5,100%
226,Landgrove,23,18,13,14,100%
227,Jay,40,15,5,4,100%
228,Stratton,27,26,5,5,100%
229,Goshen,38,13,9,2,100%
230,Westmore,34,15,5,7,100%
231,Hancock,48,4,6,3,100%
232,Maidstone,21,20,2,9,100%
233,Guildhall,32,12,5,4,100%
234,Belvidere,34,8,2,4,100%
235,East Haven,19,15,3,9,100%
236,Baltimore,26,11,3,4,100%
237,Stannard,30,3,4,3,100%
238,Bloomfield,13,10,0,5,100%
239,Mount Tabor,12,7,4,5,100%
240,Norton,11,9,0,1,100%
241,Brunswick,7,7,1,4,100%
242,Searsburg,9,5,0,3,100%
243,Lemington,7,5,1,0,100%
244,Victory,10,3,0,0,100%
245,Granby,4,3,0,0,100%
