,County,Biden,Sanders,Bloomberg,Warren,Rpt.
197,Real,47,39,15,15,100%
198,Mitchell,69,25,21,5,100%
199,Carson,66,25,18,14,100%
200,Hamilton,44,20,27,12,<1%
201,Childress,52,32,15,11,100%
202,Menard,52,36,14,14,100%
203,Schleicher,45,29,21,11,100%
204,Bailey,47,34,15,11,100%
205,Kenedy,30,22,23,7,100%
206,Parmer,48,31,19,8,100%
207,Floyd,53,22,17,7,100%
208,Mills,30,32,19,8,100%
209,Garza,40,21,20,8,100%
210,Upton,19,28,23,13,100%
211,Winkler,40,17,13,12,100%
212,Yoakum,33,30,16,4,100%
213,Hall,41,18,20,0,100%
214,Ochiltree,32,21,14,9,100%
215,Sutton,28,20,11,11,100%
216,Crane,24,25,12,4,100%
217,Hemphill,39,8,14,6,100%
218,Knox,48,13,5,6,100%
219,Stonewall,35,6,14,9,100%
220,Lynn,36,14,17,2,100%
221,Coke,26,12,14,5,100%
222,Hartley,36,11,12,7,100%
223,Dallam,20,26,9,3,100%
224,Wheeler,31,14,13,3,100%
225,Lipscomb,20,16,6,12,100%
226,Baylor,27,5,19,6,100%
227,Concho,27,19,10,7,100%
228,Collingsworth,22,11,15,8,100%
229,Cottle,20,18,8,6,100%
230,Donley,22,14,12,5,100%
231,Dickens,15,8,18,10,100%
232,Shackelford,27,13,3,2,100%
233,Irion,21,16,6,5,100%
234,Martin,16,20,4,3,100%
235,Kent,14,4,14,2,100%
236,Sherman,18,10,5,2,100%
237,Oldham,16,9,8,5,100%
238,Edwards,3,11,4,9,100%
239,Briscoe,9,4,5,7,100%
240,Cochran,17,8,4,3,100%
241,Foard,15,7,2,4,100%
242,Armstrong,11,10,4,0,100%
243,Reagan,9,7,8,0,100%
244,Throckmorton,18,4,4,0,100%
245,Sterling,5,13,1,2,100%
246,Hansford,8,12,0,0,100%
247,McMullen,8,0,10,0,100%
248,Loving,0,8,4,0,100%
249,Motley,8,2,2,3,100%
250,Glasscock,3,6,4,0,100%
251,Roberts,1,0,6,1,100%
252,Borden,2,1,2,0,100%
253,King,0,1,1,0,100%
