state,Biden,Bloomberg,County,Rpt.,Sanders,Town,Warren
CA,29938,21648,Contra Costa,100%,30361,,13779
CA,18576,18356,San Mateo,65%,25443,,12198
CA,18448,13202,Sacramento,100%,28646,,9410
CA,21507,10562,Ventura,100%,24131,,8755
CA,13906,11709,Sonoma,100%,20942,,9519
CA,13152,11184,Marin,79%,12217,,8507
CA,17452,8022,Solano,100%,14545,,5190
CA,12023,7319,Fresno,52%,17248,,3952
CA,9524,4143,Santa Cruz,100%,15999,,6668
CA,9187,5013,Santa Barbara,100%,14103,,5487
CA,9413,5770,Monterey,100%,12055,,4098
CA,7678,4028,San Luis Obispo,99%,9692,,4740
CA,8336,5770,Placer,96%,7531,,3242
CA,8232,4297,Kern,100%,9888,,2251
CA,8621,5314,San Joaquin,78%,8684,,1875
CA,6518,3218,Tulare,49%,8764,,1688
CA,5681,4110,Stanislaus,100%,7252,,1580
CA,3904,2012,Butte,100%,7386,,2855
CA,4799,2290,Yolo,100%,7054,,3443
CA,4533,2986,El Dorado,100%,4770,,2232
CA,3075,1008,Humboldt,100%,8542,,2653
CA,1932,3086,Napa,100%,3183,,1466
CA,3011,1710,Merced,100%,4271,,829
CA,1642,1722,Nevada,100%,4243,,1461
CA,2692,1038,Shasta,100%,2869,,1161
CA,2019,1290,Madera,100%,2780,,591
CA,1906,1251,Tuolumne,100%,2143,,808
CA,1152,839,Mendocino,99%,3206,,1013
CA,2089,878,Imperial,100%,3005,,421
CA,1409,551,Siskiyou,84%,1956,,818
CA,1602,949,Amador,100%,1150,,604
CA,1093,801,San Benito,100%,1728,,413
CA,1029,696,Sutter,100%,1716,,327
CA,829,810,Calaveras,100%,1086,,423
CA,1022,626,Lake,100%,1088,,302
CA,953,547,Kings,74%,997,,201
CA,803,526,Yuba,100%,953,,249
CA,673,301,Tehama,100%,773,,265
CA,468,343,Plumas,100%,689,,345
CA,640,213,Del Norte,100%,932,,304
CA,573,289,Inyo,100%,846,,349
CA,527,173,Mono,100%,594,,268
CA,378,222,Mariposa,80%,516,,255
CA,373,116,Lassen,100%,349,,152
CA,289,149,Glenn,100%,327,,95
CA,255,105,Trinity,100%,425,,127
CA,258,163,Colusa,100%,401,,77
CA,121,51,Modoc,100%,151,,59
CA,100,59,Sierra,100%,124,,70
CA,66,15,Alpine,100%,81,,45
CO,31203,25614,Denver,48%,54694,,30877
CO,29099,23479,Jefferson,100%,42518,,21283
CO,26585,21330,Arapahoe,100%,36749,,16075
CO,21620,14291,Boulder,55%,34929,,21475
CO,19196,13519,El Paso,100%,26119,,11567
CO,15595,10315,Larimer,100%,26478,,13595
CO,14477,12306,Adams,100%,26928,,8438
CO,13702,11009,Douglas,100%,12934,,6961
CO,7232,5885,Weld,100%,11650,,4234
CO,6865,6148,Pueblo,89%,7028,,2358
CO,4105,2972,Broomfield,100%,5420,,3000
CO,4431,3067,Mesa,100%,5093,,2495
CO,2622,1573,La Plata,100%,4337,,2032
CO,2416,2261,Eagle,100%,2942,,1233
CO,1955,1466,Garfield,100%,3028,,1324
CO,1619,1144,Summit,100%,2230,,943
CO,1473,1204,Routt,100%,1817,,871
CO,1298,1434,Pitkin,100%,1430,,572
CO,1037,792,Chaffee,100%,1494,,760
CO,1065,1022,Fremont,73%,1194,,548
CO,1140,861,Montrose,100%,1169,,533
CO,718,529,Gunnison,<1%,1858,,635
CO,772,647,Delta,100%,1346,,522
CO,696,422,Montezuma,100%,1218,,463
CO,724,469,Teller,92%,903,,454
CO,554,379,Park,75%,974,,414
CO,544,470,Grand,100%,839,,352
CO,447,347,San Miguel,<1%,1015,,352
CO,638,534,Las Animas,6%,687,,225
CO,583,547,Elbert,100%,608,,296
CO,462,343,Alamosa,13%,919,,326
CO,525,517,Otero,10%,657,,177
CO,469,377,Clear Creek,100%,709,,323
CO,457,370,Archuleta,13%,639,,320
CO,455,478,Morgan,100%,549,,203
CO,308,290,Huerfano,100%,477,,190
CO,343,197,Ouray,100%,499,,249
CO,286,173,Lake,100%,599,,220
CO,319,342,Logan,88%,381,,153
CO,289,317,Rio Grande,<1%,478,,160
CO,384,275,Conejos,<1%,472,,78
CO,227,182,Gilpin,100%,573,,236
CO,177,167,Saguache,100%,601,,169
CO,197,156,Costilla,63%,313,,82
CO,196,186,Prowers,<1%,222,,84
CO,143,90,Moffat,10%,201,,81
CO,148,111,Custer,100%,134,,106
CO,124,127,Yuma,93%,105,,55
