state,Biden,Bloomberg,County,Rpt.,Sanders,Town,Warren
ME,570,302,,100%,354,Millinocket,161
ME,495,166,,100%,571,Belfast,335
ME,544,142,,100%,474,Eliot,210
ME,339,99,,100%,627,Bar Harbor,315
ME,474,107,,100%,501,South Berwick,277
ME,358,107,,100%,504,Rockland,252
ME,476,226,,100%,287,Harpswell,184
ME,381,147,,100%,316,Brewer,129
ME,333,107,,100%,426,Old Town,133
ME,345,141,,100%,358,Standish,125
ME,376,108,,100%,356,Buxton,135
ME,331,96,,100%,363,Gray,154
ME,243,75,,100%,517,Farmington,152
ME,324,114,,100%,359,Ellsworth,161
ME,426,104,,100%,260,Hampden,161
ME,385,187,,100%,223,Winslow,103
ME,356,92,,100%,280,North Yarmouth,182
ME,307,124,,100%,252,Rockport,185
ME,332,46,,100%,377,Berwick,94
ME,331,118,,100%,287,Winthrop,92
ME,365,126,,100%,194,Kennebunkport,144
ME,310,96,,100%,315,Gardiner,118
ME,299,125,,100%,267,Lisbon,96
ME,250,80,,100%,256,Hallowell,183
ME,304,135,,100%,220,Skowhegan,46
ME,224,80,,100%,231,Blue Hill,163
ME,251,75,,100%,251,New Gloucester,117
ME,201,91,,100%,289,Waterboro,77
ME,258,94,,100%,239,Bridgton,85
ME,249,89,,100%,229,Raymond,86
ME,266,100,,100%,193,Poland,70
ME,267,85,,100%,195,Arundel,92
ME,224,68,,100%,250,North Berwick,79
ME,204,54,,100%,231,Waldoboro,105
ME,217,69,,100%,225,Norway,80
ME,211,93,,100%,135,Turner,143
ME,225,80,,100%,168,Bristol,113
ME,200,100,,100%,181,Oakland,86
ME,272,83,,100%,149,Presque Isle,66
ME,234,82,,100%,145,St. George,105
ME,167,57,,100%,220,Mount Desert,119
ME,226,94,,100%,182,Rumford,41
ME,161,39,,100%,195,Bowdoinham,137
ME,165,51,,100%,245,Lincolnville,93
ME,203,89,,100%,184,Fairfield,55
ME,233,83,,100%,147,Jay,55
ME,184,90,,100%,191,Lyman,38
ME,279,98,,100%,102,Madawaska,26
ME,265,105,,100%,107,Fort Kent,32
ME,178,58,,100%,180,Newcastle,89
ME,177,62,,100%,191,Hollis,69
ME,196,80,,100%,127,Boothbay,83
ME,196,60,,100%,150,China,78
ME,227,75,,100%,142,Hermon,34
ME,190,76,,100%,141,Woolwich,77
ME,254,89,,100%,104,Caribou,30
ME,169,66,,100%,174,Paris,64
ME,155,60,,100%,182,Damariscotta,77
ME,181,53,,100%,192,Lebanon,45
ME,167,81,,100%,148,Vassalboro,68
ME,172,64,,100%,156,Bucksport,64
ME,175,49,,100%,189,Fryeburg,49
ME,182,50,,100%,128,Readfield,82
ME,192,56,,100%,126,Sidney,59
ME,172,72,,100%,144,Naples,50
ME,137,52,,100%,161,Durham,69
ME,155,56,,100%,169,Richmond,46
ME,163,39,,100%,149,Bethel,75
ME,149,54,,100%,169,Wiscasset,57
ME,162,55,,100%,141,Winterport,67
ME,177,48,,100%,139,Monmouth,48
ME,173,49,,100%,144,Alfred,47
ME,142,62,,100%,152,Casco,51
ME,155,91,,100%,108,Sabattus,48
ME,119,41,,100%,155,Southwest Harbor,81
ME,160,62,,100%,130,West Gardiner,44
ME,180,48,,100%,122,Wilton,50
ME,154,68,,100%,106,Boothbay Harbor,54
ME,153,57,,100%,129,Farmingdale,35
ME,132,60,,100%,136,Glenburn,47
ME,144,89,,100%,86,Phippsburg,60
ME,116,43,,100%,160,Warren,56
ME,145,63,,100%,100,Belgrade,53
ME,119,56,,100%,159,Limington,29
ME,185,66,,100%,56,Ogunquit,36
ME,174,42,,100%,90,Manchester,41
ME,149,60,,100%,111,Greene,27
ME,128,42,,100%,156,Limerick,28
ME,138,44,,100%,106,Litchfield,52
ME,89,33,,100%,156,Hope,71
ME,137,35,,100%,111,Pownal,64
ME,123,34,,100%,132,Nobleboro,45
ME,128,37,,100%,117,Union,55
ME,127,42,,100%,129,Harrison,32
ME,111,48,,100%,113,Northport,64
ME,142,47,,100%,100,West Bath,47
ME,139,41,,100%,88,Deer Isle,71
ME,147,43,,100%,102,Milford,37
ME,131,37,,100%,101,Jefferson,48
ME,137,38,,100%,97,Orland,54
ME,137,40,,100%,99,Holden,45
ME,110,55,,100%,110,Searsport,42
ME,87,41,,100%,114,Surry,73
ME,143,57,,100%,93,Madison,17
ME,95,39,,100%,110,Whitefield,66
ME,104,25,,100%,113,Lamoine,58
ME,109,44,,100%,107,Dover-Foxcroft,44
ME,95,39,,100%,108,Acton,40
ME,91,37,,100%,118,Tremont,50
ME,100,33,,100%,120,Veazie,42
ME,102,63,,100%,79,Pittsfield,41
ME,98,31,,100%,95,Bowdoin,51
ME,120,40,,100%,87,Owl's Head,36
ME,113,43,,100%,91,Norridgewock,29
ME,109,41,,100%,103,Pittston,25
ME,64,16,,100%,178,Unity,26
ME,112,22,,100%,86,Mount Vernon,48
ME,98,27,,100%,83,Georgetown,65
ME,109,33,,100%,103,Mexico,22
ME,103,63,,100%,80,Livermore,23
ME,63,16,,100%,172,Waldo,24
ME,78,27,,100%,101,Sedgwick,63
ME,124,30,,100%,74,Houlton,38
ME,109,41,,100%,90,Lincoln,22
ME,95,42,,100%,94,Minot,30
ME,100,41,,100%,95,Livermore Falls,16
ME,97,47,,100%,72,South Thomaston,47
ME,114,29,,100%,78,Edgecomb,42
ME,132,23,,100%,74,Fort Fairfield,22
ME,93,36,,100%,78,Stockton Springs,41
ME,97,51,,100%,78,Dexter,19
ME,87,38,,100%,98,Sebago,25
ME,102,33,,100%,84,Shapleigh,19
ME,70,16,,100%,109,Dresden,48
ME,108,26,,100%,60,Wayne,44
ME,86,29,,100%,98,Mechanic Falls,27
ME,59,27,,100%,106,Searsmont,50
ME,79,38,,100%,75,Hancock,37
ME,62,14,,100%,116,Appleton,50
ME,79,29,,100%,78,Brooksville,50
ME,101,38,,100%,66,Chelsea,27
ME,87,29,,100%,75,Eastport,42
ME,108,34,,100%,61,Newport,27
ME,72,28,,100%,80,Vinalhaven,53
ME,95,32,,100%,66,Lubec,40
ME,93,41,,100%,66,Gouldsboro,27
ME,82,15,,100%,73,Brooklin,54
ME,94,32,,100%,62,Dayton,30
ME,104,30,,100%,64,Leeds,21
ME,90,34,,100%,78,Benton,21
ME,69,23,,100%,83,Trenton,46
ME,80,25,,100%,91,Parsonsfield,24
ME,84,29,,100%,67,Otisfield,34
ME,91,34,,100%,69,South Bristol,25
ME,96,21,,100%,65,Dedham,30
ME,79,40,,100%,63,Randolph,25
ME,61,21,,100%,95,Washington,33
ME,108,40,,100%,43,Van Buren,9
ME,83,28,,100%,62,Cushing,30
ME,68,31,,100%,53,Bremen,33
ME,70,23,,100%,69,Castine,37
ME,82,12,,100%,68,Waterford,31
ME,84,32,,100%,52,Calais,23
ME,73,40,,100%,60,Carmel,16
ME,72,36,,100%,51,Greenville,26
ME,58,24,,100%,69,Machias,31
ME,66,13,,100%,88,Brownfield,24
ME,77,27,,100%,60,Stonington,20
ME,80,38,,100%,44,Bradley,14
ME,72,58,,100%,37,East Millinocket,14
ME,76,29,,100%,50,Fayette,29
ME,80,22,,100%,61,Cornish,16
ME,70,16,,100%,70,Denmark,25
ME,68,34,,100%,50,Windsor,17
ME,60,24,,100%,64,Islesboro,27
ME,72,29,,100%,50,Milo,17
ME,54,13,,100%,82,Montville,31
ME,58,20,,100%,63,Swanville,26
ME,65,11,,100%,63,Lovell,26
ME,69,15,,100%,58,Newfield,16
ME,41,21,,100%,60,Franklin,36
ME,67,23,,100%,48,Canaan,18
ME,37,20,,100%,65,Hiram,29
ME,59,18,,100%,55,Sullivan,27
ME,52,17,,100%,67,New Sharon,20
ME,67,16,,100%,38,Carrabassett Valley,12
ME,48,21,,100%,55,Westport,26
ME,69,13,,100%,30,Arrowsic,43
ME,54,22,,100%,57,West Paris,16
ME,61,29,,100%,38,Levant,20
ME,45,16,,100%,53,Liberty,30
ME,45,19,,100%,55,Albion,15
ME,55,24,,100%,49,Dixfield,11
ME,54,15,,100%,57,Chesterville,14
ME,70,17,,100%,45,Anson,8
ME,41,14,,100%,61,Porter,20
ME,50,24,,100%,47,Friendship,19
ME,59,31,,100%,34,Howland,13
ME,47,15,,100%,53,Kingfield,16
ME,50,16,,100%,59,Woodstock,16
ME,55,27,,100%,40,Newburgh,15
ME,54,20,,100%,46,Peru,12
ME,43,19,,100%,60,Steuben,14
ME,53,25,,100%,35,Rome,18
ME,48,15,,100%,48,Chebeague Island,22
ME,34,12,,100%,64,North Haven,23
ME,58,26,,100%,26,Southport,17
ME,43,33,,100%,38,Palmyra,14
ME,66,32,,100%,26,Frenchville,6
ME,49,18,,100%,47,Cornville,11
ME,42,17,,100%,45,Palermo,20
ME,78,20,,100%,25,Saint Agatha,4
ME,38,23,,100%,41,St. Albans,20
ME,47,18,,100%,41,Buckfield,16
ME,34,14,,100%,57,Baldwin,15
ME,43,19,,100%,39,Milbridge,19
ME,39,9,,100%,47,East Machias,24
ME,63,16,,100%,31,Enfield,11
ME,44,10,,100%,46,Hebron,11
ME,39,8,,100%,54,Morrill,16
ME,42,13,,100%,46,Strong,15
ME,60,22,,100%,22,Corinna,8
ME,35,19,,100%,49,Dixmont,12
ME,37,20,,100%,36,Corinth,19
ME,42,19,,100%,39,Hartland,10
ME,41,21,,100%,43,Limestone,11
ME,29,4,,100%,61,Brooks,16
ME,30,16,,100%,61,Penobscot Nation Vot Dst,7
ME,20,16,,100%,57,Freedom,15
ME,46,15,,100%,38,Phillips,11
ME,58,16,,100%,31,Easton,3
ME,47,13,,100%,30,Greenwood,16
ME,45,15,,100%,38,Mapleton,7
ME,36,21,,100%,43,Sangerville,7
ME,42,17,,100%,34,Wales,13
ME,46,13,,100%,41,Brownville,3
ME,48,15,,100%,32,Smithfield,10
ME,39,7,,100%,47,Belmont,12
ME,48,16,,100%,25,Addison,13
ME,41,30,,100%,13,Medway,9
ME,36,10,,100%,42,Sumner,14
ME,32,16,,100%,36,Industry,15
ME,33,13,,100%,39,Vienna,12
ME,43,7,,100%,32,Burnham,12
ME,29,17,,100%,35,Etna,18
ME,30,5,,100%,52,Troy,8
ME,29,15,,100%,43,Solon,10
ME,19,15,,100%,45,Thorndike,20
ME,53,14,,100%,26,Washburn,4
ME,49,15,,100%,14,Eagle Lake,9
ME,37,16,,100%,32,Hartford,5
ME,34,10,,100%,26,Rangeley,13
ME,29,13,,100%,27,Mercer,15
ME,48,13,,100%,19,Baileyville,7
ME,28,11,,100%,40,Frankfort,5
ME,25,11,,100%,24,Whiting,18
ME,30,19,,100%,20,Perry,13
ME,47,13,,100%,21,Woodland,4
ME,45,12,,100%,17,Jonesport,4
ME,33,13,,100%,20,New Portland,13
ME,47,9,,100%,14,Ashland,5
ME,17,8,,100%,40,Jackson,16
ME,22,19,,100%,27,Athens,2
ME,28,13,,100%,27,Eustis,3
ME,33,11,,100%,19,Harrington,10
ME,36,12,,100%,12,Newry,15
ME,27,13,,100%,26,Andover,7
ME,36,13,,100%,22,Bradford,4
ME,33,6,,100%,28,Weld,2
ME,33,13,,100%,15,Mars Hill,4
ME,18,13,,100%,25,Long Island,14
ME,33,9,,100%,20,Monson,9
ME,22,10,,100%,26,Clifton,11
ME,30,11,,100%,25,Plymouth,3
ME,24,9,,100%,27,Prospect,9
ME,35,14,,100%,14,Wallagrass,6
ME,27,13,,100%,15,Winter Harbor,13
ME,26,6,,100%,24,Charleston,8
ME,27,9,,100%,23,Canton,6
ME,20,14,,100%,19,Exeter,10
ME,24,13,,100%,27,Pleasant Point Votng Dst,3
ME,18,11,,100%,26,Somerville,12
ME,25,10,,100%,21,Bingham,7
ME,24,11,,100%,24,Detroit,3
ME,24,3,,100%,35,Garland,3
ME,29,16,,100%,16,Jackman,4
ME,24,6,,100%,27,Knox,8
ME,20,10,,100%,25,New Vineyard,7
ME,34,11,,100%,13,Hodgdon,7
ME,18,10,,100%,32,Indian Township Vtng Dst,5
ME,24,14,,100%,14,Stetson,7
ME,31,16,,100%,10,Grand Isle,1
ME,21,7,,100%,24,Greenbush,5
ME,27,8,,100%,18,New Canada,3
ME,28,10,,100%,17,Sweden,4
ME,20,14,,100%,16,Embden,5
ME,29,6,,100%,23,New Sweden,1
ME,22,7,,100%,24,Stow,6
ME,24,9,,100%,20,Lee,3
ME,30,8,,100%,17,Littleton,2
ME,31,13,,100%,10,Sherman,0
ME,14,3,,100%,22,Cranberry Isles,11
ME,22,9,,100%,14,Jonesboro,7
ME,25,6,,100%,11,Otis,12
ME,18,9,,100%,15,Patten,9
ME,22,9,,100%,10,Roque Bluffs,4
ME,20,8,,100%,17,Sorrento,7
ME,17,9,,100%,21,Mariaville,4
ME,26,6,,100%,12,St. Francis,4
ME,21,8,,100%,14,Harmony,5
ME,21,9,,100%,15,Mattawamkeag,3
ME,27,10,,100%,8,Princeton,2
ME,20,3,,100%,19,Temple,5
ME,19,11,,100%,11,Abbot,5
ME,17,3,,100%,23,Sebec,4
ME,22,11,,100%,12,St. John Plt.,1
ME,17,8,,100%,15,Stoneham,6
ME,20,6,,100%,16,Swan's Island,2
ME,13,9,,100%,13,Roxbury,3
ME,17,5,,100%,15,Oakfield,3
ME,16,6,,100%,13,Alexander,4
ME,15,7,,100%,7,Carthage,6
ME,18,6,,100%,11,Columbia Falls,2
ME,16,4,,100%,14,Ludlow,3
ME,18,6,,100%,10,Marshfield,2
ME,18,7,,100%,4,Chapman,5
ME,17,4,,100%,12,LaGrange,1
ME,14,10,,100%,8,Moscow,3
ME,12,4,,100%,15,Amherst,3
ME,14,3,,100%,10,Oxford,7
ME,13,4,,100%,12,Sandy River Plt.,5
ME,14,5,,100%,15,Westfield,1
ME,12,8,,100%,12,Blaine,1
ME,14,8,,100%,11,Castle Hill,0
ME,14,5,,100%,6,Linneus,5
ME,13,7,,100%,4,Stockholm,3
ME,7,3,,100%,18,Bridgewater,3
ME,15,7,,100%,9,Ripley,1
ME,11,4,,100%,10,Gilead,5
ME,17,5,,100%,5,New Limerick,3
ME,11,3,,100%,10,Burlington,3
ME,11,5,,100%,3,Chester,4
ME,10,3,,100%,8,Monticello,6
ME,7,6,,100%,9,Coplin Plt.,2
ME,7,4,,100%,8,Danforth,3
ME,5,6,,100%,6,Shirley,1
ME,10,2,,100%,9,Caswell,1
ME,10,4,,100%,0,Eastbrook,8
ME,5,10,,100%,7,Lowell,0
ME,10,3,,100%,5,Masardis,2
ME,10,3,,100%,5,Oxbow Plt.,2
ME,8,3,,100%,10,Perham,1
ME,12,0,,100%,5,Weston,3
ME,6,1,,100%,10,Columbia,2
ME,7,3,,100%,7,Winn,1
ME,9,1,,100%,6,Byron,0
ME,7,2,,100%,6,Cambridge,3
ME,8,9,,100%,0,Lake View Plt.,0
ME,4,4,,100%,4,Northfield,6
ME,8,9,,100%,0,Piscataquis Cty Townshps,0
ME,7,4,,100%,4,Winterville Plt.,0
ME,9,3,,100%,3,Hamlin,1
ME,5,3,,100%,5,Matinicus Isle Plt.,2
ME,8,1,,100%,4,Waltham,1
ME,8,3,,100%,3,Grand Lake Stream Plt,1
ME,4,5,,100%,2,Medford,2
ME,5,0,,100%,5,Mount Chase,3
ME,2,4,,100%,4,Stacyville,0
ME,5,4,,100%,3,Vanceboro,0
ME,7,0,,100%,3,Seboeis Plt.,1
ME,4,1,,100%,5,Crystal,1
ME,6,1,,100%,2,Smyrna,0
ME,6,2,,100%,1,Dyer Brook,1
ME,5,0,,100%,1,Merrill,3
ME,4,2,,100%,3,Topsfield,1
ME,2,3,,100%,5,Wesley,0
ME,3,0,,100%,1,Orient,0
ME,1,0,,100%,6,Hammond,0
ME,5,0,,100%,1,West Forks Plt.,1
ME,2,4,,100%,0,Deblois,0
ME,2,2,,100%,2,Haynesville,0
ME,2,0,,100%,2,Waite,1
ME,2,0,,100%,3,Beddington,0
ME,1,1,,100%,1,Garfield Plt.,1
ME,4,0,,100%,0,Great Pond,1
ME,3,2,,100%,0,Pleasant Ridge Plt.,0
ME,4,0,,100%,1,Reed Plt.,0
ME,3,1,,100%,0,Upton,0
ME,4,0,,100%,0,Lincoln Plt.,0
ME,3,0,,100%,1,Westmanland,0
ME,1,0,,100%,2,Moose River,0
ME,1,0,,100%,0,Hersey,0
ME,0,0,,0%,0,Allagash,0
ME,0,0,,0%,0,Alna,0
ME,0,0,,0%,0,Alton,0
ME,0,0,,0%,0,Amity,0
ME,0,0,,0%,0,Aroostook Cty Townships,0
ME,0,0,,0%,0,Atkinson,0
ME,0,0,,0%,0,Aurora,0
ME,0,0,,0%,0,Avon,0
ME,0,0,,0%,0,Baring Plt.,0
ME,0,0,,0%,0,Beals,0
ME,0,0,,0%,0,Beaver Cove,0
ME,0,0,,0%,0,Bowerbank,0
ME,0,0,,0%,0,Brighton Plt.,0
ME,0,0,,0%,0,Caratunk,0
ME,0,0,,0%,0,Carroll Plt.,0
ME,0,0,,0%,0,Cary Plt.,0
ME,0,0,,0%,0,Charlotte,0
ME,0,0,,0%,0,Cherryfield,0
ME,0,0,,0%,0,Clinton,0
ME,0,0,,0%,0,Cooper,0
ME,0,0,,0%,0,Crawford,0
ME,0,0,,0%,0,Cutler,0
ME,0,0,,0%,0,Cyr Plt.,0
ME,0,0,,0%,0,Dallas Plt.,0
ME,0,0,,0%,0,Dennistown Plt.,0
ME,0,0,,0%,0,Dennysville,0
ME,0,0,,0%,0,Drew Plt.,0
ME,0,0,,0%,0,Eddington,0
ME,0,0,,0%,0,Edinburg,0
ME,0,0,,0%,0,Franklin Cty Townships,0
ME,0,0,,0%,0,Frenchboro,0
ME,0,0,,0%,0,Frye Island,0
ME,0,0,,0%,0,Glenwood Plt.,0
ME,0,0,,0%,0,Guilford,0
ME,0,0,,0%,0,Hancock Cty Townships,0
ME,0,0,,0%,0,Hanover,0
ME,0,0,,0%,0,Highland Plt.,0
ME,0,0,,0%,0,Hudson,0
ME,0,0,,0%,0,Island Falls,0
ME,0,0,,0%,0,Isle Au Haut,0
ME,0,0,,0%,0,Kenduskeag,0
ME,0,0,,0%,0,Kingsbury Plt.,0
ME,0,0,,0%,0,Lakeville,0
ME,0,0,,0%,0,Machiasport,0
ME,0,0,,0%,0,Macwahoc Plt.,0
ME,0,0,,0%,0,Magalloway Plt.,0
ME,0,0,,0%,0,Maxfield,0
ME,0,0,,0%,0,Meddybemps,0
ME,0,0,,0%,0,Monhegan Plt.,0
ME,0,0,,0%,0,Monroe,0
ME,0,0,,0%,0,Moro Plt.,0
ME,0,0,,0%,0,Nashville Plt.,0
ME,0,0,,0%,0,Orrington,0
ME,0,0,,0%,0,Osborn,0
ME,0,0,,0%,0,Oxford Cty Townships,0
ME,0,0,,0%,0,Parkman,0
ME,0,0,,0%,0,Passadumkeag,0
ME,0,0,,0%,0,Pembroke,0
ME,0,0,,0%,0,Penobscot,0
ME,0,0,,0%,0,Penobscot Cty Townships,0
ME,0,0,,0%,0,Portage Lake,0
ME,0,0,,0%,0,Rangeley Plt.,0
ME,0,0,,0%,0,Robbinston,0
ME,0,0,,0%,0,Somerset Cty Townships,0
ME,0,0,,0%,0,Springfield,0
ME,0,0,,0%,0,Starks,0
ME,0,0,,0%,0,Talmadge,0
ME,0,0,,0%,0,The Forks Plt.,0
ME,0,0,,0%,0,Thomaston,0
ME,0,0,,0%,0,Verona,0
ME,0,0,,0%,0,Wade,0
ME,0,0,,0%,0,Washington Cty Townships,0
ME,0,0,,0%,0,Webster Plt.,0
ME,0,0,,0%,0,Wellington,0
ME,0,0,,0%,0,Whitneyville,0
ME,0,0,,0%,0,Willimantic,0
ME,0,0,,0%,0,Woodville,0
MN,92107,19072,Hennepin,100%,88560,,51339
MN,34706,6928,Ramsey,99%,34498,,21971
MN,24782,5128,Dakota,100%,15504,,7472
MN,15176,3303,Anoka,100%,11280,,4156
MN,16269,3297,Washington,100%,8827,,4251
MN,14008,3412,St. Louis,100%,10147,,3740
MN,8524,1382,Olmsted,100%,5462,,2748
MN,5821,1204,Scott,100%,3544,,1493
MN,4205,998,Stearns,100%,3355,,1271
MN,5165,1044,Carver,100%,2417,,1386
MN,4294,933,Wright,100%,2053,,880
MN,3212,571,Rice,100%,2853,,1484
MN,2417,553,Blue Earth,100%,2766,,826
MN,2794,625,Sherburne,100%,1641,,583
MN,2279,360,Clay,100%,1772,,765
MN,2221,523,Winona,100%,1916,,773
MN,1988,667,Itasca,97%,1001,,340
MN,2325,576,Crow Wing,97%,1139,,438
MN,2057,516,Carlton,100%,1134,,329
MN,2178,509,Goodhue,100%,960,,492
MN,1450,362,Beltrami,100%,1720,,407
MN,1554,387,Nicollet,100%,1331,,638
MN,2030,474,Chisago,100%,973,,436
MN,2166,388,Otter Tail,100%,801,,404
MN,1499,370,Mower,100%,781,,200
MN,1496,371,Kandiyohi,100%,589,,236
MN,1445,340,Douglas,100%,468,,245
MN,1315,255,Freeborn,100%,656,,143
MN,1142,310,Steele,100%,671,,257
MN,903,371,Cass,100%,615,,165
MN,1217,292,Isanti,100%,595,,195
MN,982,221,Benton,100%,817,,244
MN,1120,187,Becker,100%,440,,188
MN,908,277,Pine,100%,468,,178
MN,706,296,Brown,100%,409,,171
MN,796,171,Polk,100%,400,,144
MN,964,189,Houston,100%,506,,196
MN,735,255,Le Sueur,96%,345,,142
MN,864,237,McLeod,100%,482,,156
MN,812,211,Lake,100%,459,,184
MN,788,209,Hubbard,100%,421,,149
MN,789,163,Fillmore,100%,347,,169
MN,841,207,Wabasha,100%,350,,146
MN,706,204,Morrison,100%,318,,109
MN,616,162,Lyon,100%,388,,150
MN,333,119,Cook,100%,376,,271
MN,510,228,Aitkin,100%,260,,84
MN,653,196,Mille Lacs,100%,413,,110
MN,685,109,Dodge,52%,301,,128
MN,537,164,Meeker,100%,221,,90
MN,535,201,Koochiching,100%,212,,67
MN,616,115,Waseca,100%,282,,106
MN,605,116,Todd,100%,239,,92
MN,227,69,Stevens,100%,370,,151
MN,513,106,Kanabec,100%,228,,82
MN,344,107,Nobles,100%,253,,51
MN,450,104,Martin,100%,177,,95
MN,430,109,Pope,100%,130,,47
MN,399,129,Faribault,100%,148,,60
MN,319,86,Chippewa,100%,149,,57
MN,302,113,Swift,100%,117,,47
MN,328,119,Sibley,100%,135,,59
MN,251,114,Watonwan,100%,141,,58
MN,364,47,Pennington,100%,193,,47
MN,370,104,Renville,100%,156,,52
MN,270,80,Roseau,100%,105,,47
MN,328,60,Wadena,96%,169,,51
MN,344,55,Redwood,100%,163,,55
MN,221,71,Lac Qui Parle,100%,75,,29
MN,282,74,Jackson,100%,107,,36
MN,115,89,Grant,100%,80,,28
MN,166,69,Marshall,100%,74,,24
MN,183,59,Norman,100%,102,,42
MN,270,58,Murray,100%,89,,31
MN,223,42,Rock,100%,102,,40
MN,266,51,Yellow Medicine,100%,111,,32
MN,275,73,Cottonwood,100%,107,,52
MN,158,39,Kittson,100%,50,,28
MN,255,33,Clearwater,100%,129,,22
MN,207,55,Pipestone,100%,82,,26
MN,123,58,Big Stone,100%,56,,29
MN,105,53,Mahnomen,100%,124,,11
MN,130,45,Wilkin,100%,55,,21
MN,99,36,Lake of the Woods,100%,42,,9
MN,209,24,Lincoln,100%,47,,15
MN,110,31,Traverse,100%,38,,8
MN,70,15,Red Lake,100%,35,,16
NC,78225,23361,Wake,100%,49980,,27511
NC,72323,22227,Mecklenburg,100%,39269,,16426
NC,37288,10246,Guilford,100%,21196,,7419
NC,29324,7439,Durham,100%,21759,,16408
NC,15433,4901,Buncombe,100%,23227,,10582
NC,23689,7739,Forsyth,100%,14114,,5236
NC,12956,4537,Orange,100%,12602,,10199
NC,19482,4801,Cumberland,100%,7334,,1905
NC,12220,5128,New Hanover,100%,9002,,3492
NC,10211,2619,Pitt,100%,5000,,1537
NC,10585,2335,Cabarrus,100%,5285,,1656
NC,9053,3056,Union,100%,4534,,1748
NC,8031,2438,Johnston,100%,4314,,1484
NC,7654,2296,Alamance,100%,4346,,1630
NC,7745,3538,Brunswick,100%,2572,,1076
NC,6408,2788,Chatham,100%,3382,,2375
NC,7874,2146,Gaston,100%,3992,,1190
NC,6210,2496,Iredell,100%,3383,,1164
NC,5678,1581,Henderson,100%,3709,,1633
NC,6361,1376,Robeson,100%,2366,,534
NC,6506,1998,Nash,100%,2116,,474
NC,5752,1668,Wayne,100%,2329,,490
NC,4596,1731,Catawba,100%,2745,,863
NC,5085,1887,Craven,100%,1737,,562
NC,4776,1501,Rowan,100%,2379,,655
NC,4860,1824,Moore,100%,1595,,777
NC,4367,1482,Davidson,100%,2194,,559
NC,5052,1545,Wilson,100%,1927,,409
NC,2236,704,Watauga,100%,4516,,1303
NC,4918,1165,Onslow,100%,1982,,599
NC,4281,1149,Harnett,100%,1895,,536
NC,3444,846,Haywood,100%,1940,,767
NC,3728,1217,Franklin,100%,1578,,496
NC,4185,1247,Cleveland,100%,1392,,420
NC,4830,882,Halifax,100%,1127,,255
NC,3545,1547,Rockingham,100%,1491,,353
NC,3457,1056,Granville,100%,1578,,470
NC,3973,1193,Edgecombe,100%,1035,,250
NC,3007,1033,Burke,100%,1483,,473
NC,2948,1231,Carteret,100%,1237,,497
NC,2778,1077,Randolph,100%,1721,,496
NC,3528,1024,Lenoir,100%,1200,,225
NC,2883,1037,Lincoln,100%,1231,,371
NC,1846,472,Jackson,100%,1844,,676
NC,3340,764,Vance,100%,793,,217
NC,2510,955,Lee,100%,1228,,329
NC,2495,859,Pender,100%,1177,,391
NC,2167,779,Dare,100%,1267,,507
NC,2752,876,Beaufort,100%,770,,267
NC,1879,549,Transylvania,100%,1276,,685
NC,2795,647,Hoke,100%,1111,,214
NC,2829,817,Sampson,100%,861,,213
NC,2639,691,Richmond,100%,692,,174
NC,2555,522,Columbus,100%,826,,196
NC,1941,822,Surry,100%,1003,,302
NC,2145,400,Rutherford,100%,1137,,273
NC,2320,654,Person,100%,773,,291
NC,2650,504,Northampton,100%,494,,126
NC,2477,685,Duplin,100%,672,,133
NC,1849,680,Caldwell,100%,1036,,297
NC,2393,626,Pasquotank,100%,649,,182
NC,2488,511,Bladen,100%,578,,136
NC,1780,632,Wilkes,100%,868,,246
NC,2373,534,Hertford,100%,432,,102
NC,1062,312,Madison,100%,1277,,478
NC,2206,479,Warren,100%,546,,132
NC,2068,325,Scotland,100%,525,,153
NC,1757,532,Stanly,100%,719,,220
NC,1437,454,Macon,100%,735,,300
NC,2127,399,Martin,100%,437,,130
NC,1316,306,McDowell,100%,870,,280
NC,2070,364,Anson,100%,427,,87
NC,1794,459,Bertie,100%,508,,74
NC,1266,550,Davie,100%,697,,236
NC,1469,476,Caswell,100%,566,,142
NC,1211,533,Stokes,100%,671,,174
NC,1310,373,Montgomery,100%,412,,119
NC,1063,297,Polk,100%,519,,281
NC,842,206,Yancey,100%,699,,314
NC,964,373,Ashe,100%,528,,229
NC,931,430,Alexander,100%,431,,134
NC,1093,314,Greene,100%,417,,82
NC,952,274,Currituck,100%,419,,170
NC,1078,268,Washington,100%,291,,56
NC,823,246,Cherokee,100%,441,,139
NC,779,300,Yadkin,100%,451,,118
NC,933,272,Pamlico,100%,212,,81
NC,552,160,Swain,100%,468,,111
NC,827,273,Chowan,100%,180,,78
NC,748,224,Gates,100%,219,,71
NC,815,181,Jones,100%,180,,27
NC,591,259,Perquimans,100%,174,,58
NC,357,241,Alleghany,100%,207,,52
NC,450,126,Avery,100%,263,,82
NC,415,130,Clay,100%,200,,92
NC,266,72,Mitchell,100%,322,,124
NC,379,86,Hyde,100%,127,,83
NC,403,125,Camden,100%,116,,53
NC,247,69,Graham,100%,97,,33
NC,217,97,Tyrrell,100%,88,,21
OK,31381,8442,Oklahoma,100%,21113,,11420
OK,21070,8064,Tulsa,99%,17195,,8062
OK,9993,2868,Cleveland,100%,9604,,5215
OK,3459,1120,Canadian,100%,2487,,1320
OK,2996,843,Comanche,100%,1598,,551
